ALGO,AENO,LSST,SRNA,ELLT,AMRP,OTCS,HETT,HUXZ,DUCT,SMAH,NPCK,MSDP,EORC,CUBO,HRET,ANSO,DIHO,RTTH,SPLZ,NWIG,MMBT,MDGI,AGVF,RRES,CTGI,ALUT,ACAC,SRTX,GARI,RCRI,ACIX,CCNS,MTNS,IHOZ,NAYO,FWWG,EELT,HRND,AETS,ULXY,BLBT,BENI,ITPA,HTRK,NGTE,ILVX,FCSG,FARS,MHRM,EAFC
100.22,104.09,120.94,136.62,64.42,20.94,13.62,58.43,79.06,19.28,45.03,14.05,35.35,32.42,113.83,50.56,45.76,12.71,42.04,116.15,110.79,83.59,140.36,131.5,40.86,89.5,18.99,70.95,284.63,16.17,57.3,16.18,24.69,21.98,140.54,36.45,38.24,97.27,23.25,37.34,47.35,56.18,31.14,18.77,10.7,54.55,32.54,24.77,63.65,20.55,42.23
101.98,105.58,121.5,139.44,64.92,22.63,14.05,57.96,81.24,19.75,44.88,14.24,36.28,32.61,114.91,52.27,46.62,13.07,44.38,120.9,110.77,79.94,141.52,135.95,41.04,89.57,19.25,71.79,294.72,15.79,61.39,16.26,25.61,21.64,146.64,39.63,39.08,99.18,23.94,37.18,49.28,54.92,31.32,18.86,11.08,53.52,33.14,25.26,62.87,20.89,43.16
101.51,104.65,119.25,139.2,64.7,22.31,13.97,58.76,77.26,19.4,43.82,13.79,38.1,32.61,115.24,53.18,45.45,13.09,42.82,127.02,110.47,79.76,134.63,134.4,42.2,86.48,19.12,69.91,291.69,15.51,63.56,15.98,24.99,21.64,146.71,40.64,38.45,101.03,24.16,37.98,49.39,54.66,31.71,18.38,11.09,53.18,32.98,24.83,61.39,20.67,43.11
102.25,103.7,120.29,139.27,66.15,21.24,14.36,59.25,77.75,20.01,43.8,13.9,38.61,32.91,116.49,52.65,44.1,13.78,42.91,125.72,114.0,85.24,133.16,135.74,41.42,87.37,19.88,70.43,286.67,15.84,66.17,16.12,24.71,21.4,145.63,41.61,39.19,103.19,23.65,38.72,49.06,54.86,31.57,18.64,11.15,53.05,33.79,23.98,62.21,20.11,44.81
101.89,106.12,120.23,137.0,66.68,21.78,14.67,59.15,78.82,20.1,43.75,14.24,37.03,32.23,115.88,51.1,45.95,13.26,41.07,123.73,114.52,83.78,136.46,136.12,41.64,86.69,19.79,69.32,289.88,15.64,65.12,16.12,25.05,21.37,145.02,42.5,39.84,96.09,23.85,37.5,51.54,54.47,31.41,18.51,10.85,52.68,34.56,24.05,61.38,20.06,43.62
102.19,108.67,117.11,137.63,66.28,22.16,15.02,59.33,77.88,20.23,44.22,14.4,37.84,32.28,116.16,50.1,46.39,13.19,40.97,127.3,113.67,86.58,138.16,136.08,42.44,87.78,19.32,71.51,300.04,14.96,65.74,16.17,24.79,21.69,147.78,42.3,38.85,97.5,22.16,37.78,53.56,54.58,31.52,18.47,10.88,52.58,34.82,24.66,62.1,19.38,42.24
102.63,108.13,118.38,136.7,67.22,22.94,15.45,60.48,77.9,20.07,44.7,14.69,36.57,32.44,118.32,49.18,46.42,12.85,41.67,126.96,114.27,86.44,137.04,140.41,41.51,91.47,19.31,73.52,303.87,15.27,61.65,16.27,24.96,22.53,151.04,42.01,38.2,101.16,22.08,37.79,53.83,54.46,31.6,18.48,10.94,52.81,34.65,24.79,62.9,19.75,41.13
102.6,106.24,118.36,136.3,67.05,23.67,15.57,60.55,77.77,19.4,43.75,14.96,35.88,31.28,118.89,50.56,46.39,12.96,43.07,128.99,113.27,89.94,138.29,144.46,41.51,92.25,19.7,73.8,299.68,14.91,62.27,16.32,25.09,22.42,149.08,42.34,37.98,100.55,22.17,37.09,51.08,53.84,31.44,18.62,10.98,54.67,34.35,24.99,61.59,19.29,40.71
102.3,107.24,119.46,136.59,66.12,24.63,16.08,60.73,79.65,19.53,43.32,15.01,34.88,32.18,120.65,50.29,45.46,13.33,43.32,130.4,111.18,89.27,137.4,146.93,41.18,90.97,20.08,72.86,313.1,14.25,58.98,16.02,24.48,22.86,148.85,41.2,37.63,100.1,22.32,35.79,51.89,53.25,31.06,18.71,10.81,53.08,33.79,25.34,60.21,18.76,40.22
102.05,109.94,121.2,134.74,66.01,24.97,15.55,61.29,79.15,19.63,42.17,15.24,35.25,31.73,121.32,50.96,46.8,13.12,41.96,128.74,109.01,92.41,137.09,142.13,40.13,92.59,20.27,72.21,315.1,14.47,57.23,15.9,24.43,22.39,147.13,40.67,37.81,98.85,22.17,34.87,51.32,52.96,31.07,19.11,10.77,53.4,33.01,25.67,61.51,19.11,40.12
101.66,108.4,118.71,133.75,66.55,24.55,15.69,60.62,81.66,19.17,42.75,14.99,35.39,31.47,122.97,49.88,45.61,13.12,42.66,128.89,109.66,99.42,138.65,143.31,41.36,91.61,19.72,70.41,312.42,14.4,56.82,15.95,23.44,21.49,149.86,41.44,38.05,98.75,22.17,35.33,47.04,52.82,30.75,19.23,10.64,51.72,32.9,26.0,60.69,19.17,39.41
100.84,107.0,116.2,129.3,66.97,25.06,15.07,60.64,83.0,19.24,43.81,15.02,35.1,31.2,126.36,49.1,45.36,13.31,42.18,128.4,108.54,103.56,136.4,141.14,39.89,94.43,20.14,69.47,308.65,14.23,54.86,15.59,23.99,21.09,150.32,38.73,37.72,95.6,21.45,34.32,44.35,52.48,30.39,18.94,10.86,50.92,32.98,25.47,60.79,18.62,39.88
101.37,109.07,119.76,128.95,68.64,25.3,15.15,59.92,85.17,19.2,43.61,15.6,35.16,31.54,128.11,50.2,44.26,13.66,43.49,125.61,113.15,106.2,140.33,142.08,40.29,94.16,19.16,70.83,317.95,14.14,55.49,15.77,23.58,20.97,152.91,37.96,37.55,94.11,21.66,33.09,44.17,52.25,30.12,18.61,10.81,51.07,33.09,25.45,60.75,19.38,40.87
102.13,114.54,120.04,128.01,68.15,25.56,14.93,60.58,85.14,19.23,44.06,15.95,36.5,30.29,130.42,50.69,44.74,13.65,44.64,126.54,116.44,103.62,143.41,140.74,39.62,91.46,19.38,72.1,324.93,14.82,55.13,15.82,23.44,21.3,156.23,36.65,38.54,97.76,22.32,33.33,44.27,52.48,30.27,18.56,10.96,50.21,33.24,26.4,61.18,19.95,40.72
101.94,113.41,118.53,130.76,66.77,24.9,14.37,61.08,87.54,19.15,44.57,16.08,36.22,30.59,130.86,51.48,44.5,13.72,46.75,123.4,115.78,108.14,142.24,137.41,39.12,90.14,18.91,71.91,320.32,14.63,54.9,15.79,23.38,21.36,157.57,37.73,38.38,95.72,21.49,33.83,44.3,52.33,30.29,18.29,10.93,49.74,33.53,26.59,61.73,19.51,41.07
101.02,113.49,120.12,129.22,67.79,24.89,14.42,60.46,90.3,19.05,43.37,16.28,36.5,30.16,129.39,50.3,44.21,13.2,46.37,123.7,118.45,104.07,136.21,133.73,37.51,91.44,18.74,71.93,324.27,14.92,54.4,15.49,22.25,20.76,155.64,36.29,38.23,94.31,21.27,32.13,46.53,51.46,30.19,18.13,10.66,47.84,33.35,26.18,61.47,19.57,41.32
101.41,114.12,116.28,128.53,68.72,25.65,14.02,61.83,90.4,19.0,43.87,16.71,36.51,30.43,131.36,50.47,43.41,13.43,44.69,127.89,118.44,108.34,138.6,134.96,37.18,88.94,18.57,71.82,322.85,14.89,52.78,15.72,22.69,21.18,154.77,34.91,38.57,93.08,21.39,35.31,46.74,51.47,30.17,18.55,10.56,48.08,33.04,27.0,62.25,19.36,41.7
101.18,113.79,116.19,126.13,68.21,26.13,13.91,62.15,88.24,18.77,44.83,17.18,35.79,30.37,130.89,49.43,44.94,13.62,44.8,126.36,119.38,100.64,138.49,137.99,36.53,89.28,19.53,72.39,325.06,15.19,50.32,15.46,22.47,21.34,154.29,35.21,37.67,88.95,21.16,36.42,48.86,51.18,29.57,18.5,10.41,47.84,32.61,27.43,60.85,19.28,42.55
101.99,114.82,119.03,125.48,67.7,26.19,14.08,63.03,88.76,18.68,43.92,17.59,35.58,30.62,132.46,49.41,45.16,13.28,46.65,120.34,117.53,109.45,140.25,137.46,37.92,90.66,19.45,74.64,334.66,15.08,49.95,15.6,21.92,21.42,155.95,36.22,36.94,90.14,21.81,37.2,51.36,50.5,29.76,18.69,10.39,49.78,33.1,27.82,60.14,18.79,42.71
101.79,114.49,119.58,123.49,68.45,25.83,14.51,63.59,85.41,18.43,42.61,17.88,35.75,30.24,133.52,49.88,44.22,13.33,46.68,119.26,118.17,109.11,144.13,135.94,37.86,89.9,20.11,74.59,343.73,14.94,49.91,15.27,22.8,21.35,156.24,36.44,37.1,92.09,21.41,35.18,49.56,50.92,29.9,18.39,10.36,47.74,32.55,28.54,59.32,18.94,41.92
102.02,116.64,120.76,125.26,68.12,25.79,15.35,64.61,87.78,18.35,42.1,18.25,34.39,30.72,132.64,49.49,44.47,13.18,45.85,115.93,117.4,110.92,146.33,135.11,38.24,94.12,20.56,74.58,351.95,14.84,49.93,15.29,23.23,21.37,159.41,37.0,36.38,91.04,20.91,34.84,49.01,50.3,29.6,18.13,10.32,48.65,32.85,28.58,59.15,18.39,41.41
103.4,118.18,122.82,123.07,68.81,26.23,15.22,65.41,86.92,18.06,44.02,18.56,34.83,31.5,135.18,49.45,45.88,13.74,50.1,121.47,120.87,112.91,150.6,131.71,39.71,92.07,20.59,75.24,345.96,15.4,50.83,15.7,23.52,21.48,160.67,38.32,36.19,90.99,21.24,37.2,47.37,50.87,29.27,18.16,10.19,49.4,33.13,29.65,59.78,18.64,41.31
103.8,121.59,120.56,122.36,68.71,25.63,15.3,64.85,85.99,18.57,45.07,18.71,34.87,31.99,135.43,50.77,47.33,13.74,48.75,120.72,124.24,117.88,152.14,136.68,40.76,91.38,20.15,75.28,361.25,15.68,50.69,15.56,23.72,21.32,160.15,37.79,36.03,90.38,21.67,36.02,48.08,50.07,29.31,18.48,10.02,49.23,33.32,29.77,59.55,18.65,40.49
102.68,121.8,120.56,120.63,67.02,25.39,15.01,64.13,84.03,18.16,44.14,18.48,34.09,33.49,134.07,48.75,47.4,13.76,46.77,118.05,125.73,108.96,151.1,134.03,37.78,91.98,19.61,76.97,359.01,15.37,50.94,15.47,23.66,21.3,158.54,36.47,35.47,88.35,21.8,38.36,48.65,48.72,29.21,18.49,10.17,49.63,33.37,28.99,59.74,18.74,39.84
103.43,119.91,122.86,120.3,66.56,24.82,15.19,65.37,82.02,18.38,45.41,18.81,35.6,33.45,136.33,48.51,47.92,13.76,46.44,118.09,123.07,106.78,157.64,140.59,37.02,97.67,20.32,76.16,364.39,15.04,53.05,15.04,24.5,21.52,162.56,36.45,35.22,88.46,21.74,40.2,48.41,49.22,29.3,18.6,10.36,50.24,33.43,28.56,59.42,19.0,39.73
101.57,115.84,120.33,120.61,66.11,22.98,15.49,64.14,83.19,17.6,44.94,18.27,35.21,32.04,132.88,47.68,45.98,13.72,43.68,116.33,120.36,103.98,156.85,136.83,36.48,98.93,20.15,72.95,351.09,14.97,52.39,15.05,24.25,21.14,157.4,35.02,34.32,86.94,20.9,38.8,48.43,48.7,29.24,18.75,10.23,49.82,32.85,28.0,58.76,18.81,40.49
101.03,117.51,122.1,120.12,65.98,22.14,16.18,64.57,82.05,18.52,44.27,18.37,34.57,30.94,133.97,46.94,45.31,13.63,42.99,109.81,118.25,105.45,157.46,134.8,36.16,96.58,20.07,72.2,340.32,14.99,51.87,15.08,24.64,20.98,156.2,36.81,33.73,88.09,20.9,38.28,47.68,48.07,29.12,18.73,10.38,51.28,32.72,26.51,56.95,18.78,38.85
101.73,119.04,122.86,118.68,66.95,21.32,16.32,66.11,82.94,18.45,44.98,18.12,35.72,31.65,133.79,47.3,44.79,13.47,43.16,109.26,116.24,109.79,161.0,133.12,37.52,101.54,20.2,73.75,347.55,15.31,52.66,15.4,24.78,21.35,155.22,37.47,33.25,86.78,21.11,35.99,49.75,47.31,28.98,18.68,10.37,53.6,33.21,26.79,56.33,18.46,38.79
102.01,116.88,117.81,118.46,67.9,21.24,17.13,65.83,85.19,18.57,45.72,17.92,36.56,31.58,131.35,46.59,45.15,13.04,44.22,109.95,115.83,107.3,159.24,134.82,38.32,100.51,20.28,74.89,349.64,15.48,53.25,15.38,26.36,21.42,154.77,38.01,33.16,87.51,20.69,36.13,48.46,47.34,29.2,18.41,10.67,52.94,33.0,27.43,56.92,18.8,38.38
101.7,117.64,115.37,117.66,69.18,21.24,17.38,66.69,82.55,18.18,45.9,17.61,35.99,32.06,131.6,46.22,46.0,13.02,43.53,109.23,113.15,104.61,159.93,133.67,38.6,100.28,20.75,76.55,341.37,15.76,54.36,15.22,25.89,20.89,154.89,36.88,32.24,88.26,21.06,35.4,49.94,47.84,29.13,17.94,10.75,52.76,33.37,27.03,55.51,18.88,38.19
102.36,115.39,119.71,120.14,68.9,20.69,17.26,68.92,83.91,18.22,47.26,17.89,36.67,32.22,133.05,47.14,46.71,13.27,43.13,110.88,119.3,103.26,159.52,129.52,38.83,100.12,20.25,78.14,338.34,16.54,54.14,15.61,26.23,21.32,154.73,36.97,32.49,86.92,20.73,34.86,49.45,47.46,29.68,18.4,10.97,55.67,33.32,27.26,54.62,18.51,37.93
101.44,115.7,119.08,118.62,69.79,19.61,16.02,67.88,84.39,17.96,47.21,17.65,36.96,31.86,131.65,46.4,47.38,13.44,43.19,110.59,116.98,102.39,156.38,127.4,38.43,94.78,20.14,76.26,333.05,16.33,54.6,16.15,26.57,20.49,152.66,37.34,32.73,82.26,20.5,33.2,49.42,48.05,29.34,18.71,10.82,54.87,32.81,27.46,56.37,18.82,37.29
101.69,115.11,117.23,119.79,69.27,20.5,15.7,67.0,86.27,18.03,47.74,17.8,37.12,32.1,133.73,47.57,46.67,13.41,43.91,109.22,121.42,100.37,153.0,126.71,39.99,92.69,19.86,74.88,337.27,16.29,56.23,15.81,27.58,20.38,149.2,38.55,33.5,83.2,19.7,33.05,50.82,47.63,29.5,18.96,10.75,56.2,32.92,27.43,54.22,18.76,37.42
102.77,113.98,117.44,120.35,69.09,21.07,15.39,68.65,86.88,18.32,48.07,18.26,37.25,33.04,135.56,48.03,47.53,13.7,45.55,110.52,119.82,101.82,153.54,128.47,41.55,96.43,19.96,77.02,344.77,16.63,54.33,16.27,26.78,20.72,146.44,38.91,33.41,85.19,20.01,32.76,53.26,48.01,29.75,19.46,10.89,56.73,33.82,27.0,54.1,18.43,37.51
102.78,110.38,117.02,119.57,70.09,20.64,15.69,68.39,87.14,18.0,47.64,18.27,38.04,31.76,135.2,46.65,46.61,13.56,46.9,106.54,121.25,105.35,153.21,131.06,40.79,97.74,20.25,75.42,342.66,17.08,53.29,17.07,26.96,20.16,149.04,40.05,33.25,87.58,20.91,32.95,52.07,48.49,29.47,19.74,10.67,54.13,33.66,27.62,53.34,18.38,37.31
102.73,110.0,114.06,119.72,70.59,19.54,15.24,67.92,86.36,17.37,46.53,17.9,37.69,30.78,135.56,47.55,46.2,13.44,46.47,108.06,119.87,108.26,157.53,132.06,40.79,98.91,20.27,75.3,346.17,17.4,54.62,17.62,26.94,19.52,150.63,39.06,34.12,85.64,22.59,34.49,51.89,47.72,29.47,19.43,10.43,52.38,33.76,28.3,52.9,19.08,38.21
101.5,108.98,109.24,118.46,69.54,20.14,14.8,67.6,84.8,17.07,44.82,17.5,38.37,30.64,136.97,48.03,45.94,13.23,47.88,100.11,119.66,105.67,157.69,131.36,41.75,94.22,19.72,75.75,334.52,17.43,52.03,17.1,27.08,19.69,147.64,41.64,33.66,82.15,22.22,32.73,49.12,46.94,29.35,19.64,10.3,51.69,33.24,28.38,52.04,18.72,37.93
100.7,109.47,105.8,115.94,69.97,20.16,14.11,66.67,86.14,16.59,42.92,17.39,37.82,31.08,131.99,47.51,45.4,12.91,48.63,103.13,122.7,105.63,161.67,131.15,40.69,95.26,19.76,74.94,332.35,16.94,50.57,16.98,27.33,19.47,144.68,40.81,33.62,80.16,21.71,32.02,49.87,46.72,28.95,19.99,10.09,51.07,33.1,28.56,51.8,18.55,37.1
98.11,106.83,99.28,112.99,67.79,20.0,13.85,65.75,83.68,16.1,42.18,16.42,37.28,30.58,130.04,45.21,45.78,12.53,46.14,100.56,118.09,97.49,156.53,122.99,39.39,93.63,19.18,74.23,331.88,16.41,50.36,16.66,26.62,18.84,138.85,38.66,33.47,79.63,20.84,31.08,50.15,45.85,28.41,19.58,9.72,50.34,32.45,28.63,51.2,18.26,36.15
97.28,107.28,98.62,112.16,67.04,19.47,13.29,65.22,83.35,15.69,39.92,16.2,37.57,30.3,128.14,46.61,44.97,12.02,46.82,101.53,114.33,93.28,163.63,123.3,37.62,88.31,19.26,74.02,324.35,16.06,49.73,16.84,26.55,18.38,133.65,38.51,33.42,84.05,21.34,30.83,50.05,46.27,28.24,19.67,9.57,49.38,31.99,28.28,52.6,17.99,36.66
95.95,107.02,98.9,111.23,65.89,19.93,13.62,64.55,81.77,15.78,40.12,15.36,37.71,29.83,128.75,47.03,45.21,11.62,47.1,99.68,111.16,88.15,160.17,122.78,38.39,87.05,19.25,74.57,313.48,15.63,48.0,16.5,26.19,18.4,133.44,36.53,32.49,80.41,20.6,29.18,48.09,45.68,27.98,19.73,9.59,48.65,31.66,27.9,52.1,18.26,35.11
96.03,104.44,98.49,113.28,68.35,20.22,13.78,66.29,81.24,16.09,39.95,15.23,38.5,29.31,128.85,47.93,44.63,11.6,47.14,103.81,107.21,84.88,158.28,119.66,37.93,89.48,19.23,73.22,318.51,15.62,50.09,16.59,26.92,18.26,131.95,37.66,32.24,79.04,20.49,29.22,48.39,45.7,27.73,19.25,9.56,47.92,31.41,27.93,53.13,17.72,35.35
96.42,103.19,100.26,112.93,69.35,20.27,13.33,66.7,82.41,16.13,39.73,15.15,39.77,29.29,127.11,47.53,44.65,11.48,46.94,103.31,106.8,86.67,155.98,117.65,37.72,91.32,19.51,74.76,312.67,15.79,49.74,16.91,27.07,18.09,129.05,37.1,33.07,81.78,20.27,29.58,49.96,46.37,27.38,19.6,9.66,47.92,31.26,28.03,53.61,18.52,36.64
95.13,99.92,100.42,112.63,67.95,19.43,12.99,66.37,81.01,15.69,40.37,15.36,37.91,29.03,123.11,45.62,43.88,11.2,45.68,101.44,104.76,85.71,158.82,123.08,38.13,87.83,19.19,73.12,305.11,15.71,52.3,17.01,26.02,17.76,128.63,35.91,32.65,82.06,20.07,29.29,47.95,46.61,26.57,19.35,9.44,46.51,30.84,28.36,53.37,18.21,35.82
95.26,100.29,98.04,114.02,68.74,19.33,13.13,68.46,80.52,15.75,40.39,15.17,38.49,30.17,123.02,46.02,44.11,11.15,46.7,98.73,107.28,84.56,157.99,120.78,38.49,89.51,19.15,72.49,306.87,15.16,51.77,16.84,27.43,17.62,126.9,34.99,32.48,85.93,19.22,27.0,49.44,46.19,26.62,19.53,9.52,47.03,30.91,29.14,53.08,17.53,35.74
97.61,104.2,101.32,117.38,71.13,20.57,13.88,68.68,81.86,16.44,41.68,15.56,38.55,30.24,122.89,45.68,43.67,11.18,50.06,98.59,106.61,86.0,163.18,124.78,39.07,91.5,20.61,74.8,313.12,15.8,53.52,17.29,27.83,17.64,130.95,35.52,32.91,89.36,19.79,28.8,50.64,46.24,27.1,20.0,9.86,48.41,31.84,30.88,51.28,18.19,36.2
97.99,101.42,100.08,116.86,71.72,21.67,13.96,68.98,80.28,16.53,41.51,15.17,38.28,30.3,121.67,44.28,43.81,11.21,50.69,101.01,106.41,83.44,170.04,124.62,39.03,95.09,20.74,73.54,313.48,16.22,54.88,17.47,27.94,18.11,131.7,36.59,32.7,91.81,20.47,28.59,49.58,46.04,26.82,20.45,9.81,50.03,31.86,29.66,51.52,18.2,36.87
97.51,99.89,99.87,116.73,71.04,21.52,13.46,68.93,82.83,16.68,41.33,15.06,37.24,30.23,120.02,43.8,43.8,11.2,50.22,99.54,98.89,82.93,172.67,127.96,38.89,95.75,20.09,73.6,312.83,16.46,56.35,17.37,27.61,18.01,128.75,36.47,31.47,96.95,20.03,27.8,49.7,45.18,27.04,20.48,9.86,50.38,31.73,29.34,50.67,18.26,35.6
97.85,98.56,99.06,113.9,70.26,21.62,13.82,69.62,84.44,16.64,42.4,14.87,37.24,31.52,120.26,43.48,43.85,11.15,48.9,102.91,98.68,83.22,173.36,126.23,38.11,99.09,20.81,72.8,307.2,16.4,57.41,17.38,28.72,18.44,129.71,37.17,31.63,97.1,20.07,28.03,48.33,44.79,27.21,20.68,9.96,50.04,31.87,28.52,52.02,18.34,35.19
97.49,98.82,101.72,115.2,70.98,22.09,13.89,69.39,85.77,16.68,42.64,14.57,36.99,31.51,118.87,44.27,44.63,11.45,46.88,100.92,94.91,83.27,179.08,122.68,37.43,92.98,20.54,72.99,296.56,16.2,57.77,17.32,28.71,18.9,129.41,33.82,31.7,95.22,20.71,27.23,49.13,44.92,27.51,20.67,9.83,50.46,31.73,28.98,52.01,18.86,34.54
98.06,100.29,102.34,113.02,70.99,22.28,13.93,70.11,87.71,16.92,43.46,14.67,36.99,31.9,120.95,45.98,44.39,11.5,46.2,100.19,96.58,80.58,178.56,122.82,37.99,89.22,21.04,73.55,293.95,16.42,59.13,17.47,28.22,19.37,131.74,34.59,32.38,92.37,20.86,27.99,51.71,45.44,28.03,20.97,9.91,50.24,31.84,28.95,52.28,18.76,34.13
98.87,99.76,104.14,115.35,71.81,21.92,14.43,70.59,87.21,16.99,43.52,14.63,36.85,32.12,122.09,47.21,46.37,11.72,45.34,98.25,99.27,84.08,177.29,121.78,38.29,87.1,21.47,73.68,294.61,16.58,59.04,17.7,28.03,19.77,137.25,33.69,32.86,91.0,20.63,28.06,53.97,45.3,28.06,21.18,9.96,51.67,32.54,28.75,52.45,19.65,35.77
97.69,99.58,100.3,112.57,71.23,21.35,13.76,70.62,86.22,17.14,43.03,14.62,36.42,31.85,120.01,46.91,46.53,11.93,43.41,96.7,98.49,82.63,174.12,120.85,36.84,80.19,21.88,74.75,292.51,16.27,58.04,17.69,27.5,19.36,137.2,33.04,32.86,91.79,21.04,27.15,50.64,45.59,27.58,21.17,9.7,50.46,32.11,28.11,52.7,19.83,37.29
96.51,100.57,101.29,114.33,69.89,21.91,13.6,69.81,87.31,16.9,43.13,14.51,35.16,33.04,123.25,47.3,47.05,11.62,41.44,93.51,97.61,82.49,175.74,119.72,34.75,77.2,21.39,73.69,295.33,15.47,56.73,17.56,26.43,19.7,136.04,31.49,32.94,87.1,19.91,25.45,51.44,45.43,27.68,20.89,9.85,51.47,31.89,27.19,52.83,18.68,35.54
97.38,101.6,101.05,114.45,72.02,22.67,13.88,70.7,87.71,17.15,44.49,14.47,35.39,33.0,127.07,48.02,46.97,11.69,40.78,92.36,101.02,80.77,179.2,119.14,34.39,80.38,21.03,75.55,294.21,15.86,59.03,18.23,25.85,19.59,135.94,32.4,33.25,84.18,20.16,24.5,53.53,45.43,28.42,21.27,9.78,52.0,32.13,27.93,53.46,19.05,34.91
98.17,102.68,102.41,115.28,71.16,22.15,14.04,69.61,91.96,17.49,43.97,15.1,35.92,32.27,126.97,47.48,47.44,11.37,42.99,89.91,101.1,86.75,178.57,117.6,35.87,86.2,20.48,77.5,304.41,15.81,62.53,18.38,26.39,20.06,133.55,33.12,32.91,88.62,19.59,24.39,52.79,45.3,28.87,21.15,9.97,51.36,31.96,27.67,53.17,19.44,34.28
