,instrument_1,instrument_2,distance_corr
767,18,39,0.4723366131283655
119,2,23,0.47209044983294784
704,16,41,0.4709844529091861
219,4,30,0.4694551403053996
697,16,34,0.4688176754251806
6,0,7,0.4681120920183471
39,0,40,0.46784164363416014
239,4,50,0.46687980079986824
966,25,42,0.46413182457962293
319,6,41,0.4627905458198435
606,13,48,0.46249235753844914
299,6,21,0.46226464049662047
200,4,11,0.46209540750166134
536,12,15,0.46188042160225173
1162,35,43,0.4604485959959374
474,10,30,0.4603734249999316
1065,30,31,0.4598793435426249
579,13,21,0.4594520828841314
895,22,49,0.45941750415236293
896,22,50,0.458003941586891
1239,42,43,0.4576144472667393
94,1,46,0.45759919351609846
1243,42,47,0.4572317122284267
1079,30,45,0.45691743816670577
103,2,7,0.45684651409585064
60,1,12,0.4558948077011614
1206,38,48,0.45534026369148045
292,6,14,0.454551291192982
136,2,40,0.4544841297214524
588,13,30,0.4542869432872856
863,21,45,0.45378324914897444
304,6,26,0.4536029245836869
359,7,38,0.45322425127999594
1095,31,42,0.45302040774191205
514,11,31,0.4526981546658186
280,5,46,0.4519617480409927
349,7,28,0.4508623337171897
928,24,29,0.4495656104064131
1267,46,49,0.44830054249135126
884,22,38,0.44813939897304234
493,10,49,0.4477202520158064
379,8,16,0.445473511345249
699,16,36,0.4454203586552626
1222,40,43,0.44530250202667643
947,24,48,0.4450736391206583
1135,33,47,0.44486746045025244
352,7,31,0.44392279568107057
762,18,34,0.4431427500006325
1204,38,46,0.4431374465026494
314,6,36,0.44240577644435614
1262,45,48,0.44226722396722346
142,2,46,0.44115406780100774
938,24,39,0.4411159407103319
495,11,12,0.4407861287379503
23,0,24,0.4406567881080828
522,11,39,0.44056217402749265
695,16,32,0.4404258813150035
835,20,46,0.44026619752438734
541,12,20,0.4393989924848608
546,12,25,0.4389896070041775
166,3,23,0.43888189718262394
701,16,38,0.4388604485784176
482,10,38,0.4383124449786968
364,7,43,0.4380905763707237
558,12,37,0.4380207413982175
1093,31,40,0.4378474030012434
244,5,10,0.43756305468319406
310,6,32,0.43625499746659424
58,1,10,0.4360431046191189
257,5,23,0.4358555187799019
1023,28,30,0.43370198471299154
291,6,13,0.4327790325812003
106,2,10,0.43202176433698775
246,5,12,0.431346882449716
320,6,42,0.43072983960410566
9,0,10,0.430215301088966
855,21,37,0.42928082361958003
706,16,43,0.42879268747825305
130,2,34,0.4285070070172327
223,4,34,0.4277640784113008
358,7,37,0.42738056176806266
1256,44,47,0.4263105741694979
276,5,42,0.42628929379552777
548,12,27,0.42614296557152465
176,3,33,0.4247784593581146
365,7,44,0.42447421892514225
323,6,45,0.42434465260338994
691,16,28,0.42428799735375067
690,16,27,0.4235420777846314
194,4,5,0.4227714062006142
565,12,44,0.4214911093098007
1051,29,37,0.42125580631529697
134,2,38,0.4211735741053869
729,17,33,0.4211067180214723
1040,28,47,0.4204700866344225
240,5,6,0.4204198326049621
301,6,23,0.420184774322635
258,5,24,0.4197795919681245
167,3,24,0.4196681138965825
689,16,26,0.4191997441398128
146,2,50,0.4189751073471145
1205,38,47,0.41874896783545684
1156,35,37,0.4181650069330752
1045,29,31,0.4178562147998859
1198,38,40,0.4176490333350878
464,10,20,0.41728077579238787
915,23,42,0.4170991286977036
409,8,46,0.41695832676382016
324,6,46,0.41693225507204273
1,0,2,0.41647919876743045
867,21,49,0.4158028123474018
91,1,43,0.4139069583187715
277,5,43,0.4136019038845553
669,15,40,0.4134978679907118
450,9,46,0.41337970728545986
765,18,37,0.4128235348666167
1084,30,50,0.4126523277222648
1223,40,44,0.41259838201328813
245,5,11,0.4124328533659321
288,6,10,0.4104745942571707
693,16,30,0.410311539361158
494,10,50,0.40991407381354367
1083,30,49,0.40966526023162436
336,7,15,0.40940610465623684
406,8,43,0.4088219689698977
846,21,28,0.4087023415180079
45,0,46,0.4080947343069814
159,3,16,0.4076185550275651
1268,46,50,0.40742985913039875
282,5,48,0.40687398164000466
375,8,12,0.4061775502302022
681,16,18,0.40511435770957754
1139,34,35,0.40505068374230113
550,12,29,0.40362827862004025
124,2,28,0.40289207780103103
205,4,16,0.4024397651279079
321,6,43,0.4021722541325889
1017,27,46,0.4018999881600429
1033,28,40,0.39973643901665545
297,6,19,0.39970641208976154
868,21,50,0.39838527132998974
317,6,39,0.3982062251068005
308,6,30,0.39798181894981377
906,23,33,0.3969271683116485
698,16,35,0.39673280893677604
1014,27,43,0.3955762505798943
5,0,6,0.3955026654697881
121,2,25,0.3951535149702669
1191,37,45,0.3948419921587104
616,14,22,0.3939459970667782
880,22,34,0.39333754397522613
582,13,24,0.3926349436467727
944,24,45,0.39153864549867673
145,2,49,0.39106543268301364
696,16,33,0.39060819557025656
255,5,21,0.3904215815023925
1192,37,46,0.39007820412523336
682,16,19,0.38966341907424806
759,18,31,0.3895274155209791
992,26,44,0.38925431941421945
832,20,43,0.38918101548597567
803,19,44,0.3874316371777152
141,2,45,0.3866811778727204
79,1,31,0.38668087016456804
686,16,23,0.3856550603570424
1234,41,46,0.384979909552926
373,8,10,0.3840972633374347
574,13,16,0.38397169464346276
708,16,45,0.3834075790461411
551,12,30,0.3829894930815092
595,13,37,0.38253595894585984
567,12,46,0.3817578193417714
957,25,33,0.3814813630461243
285,6,7,0.38127583369221846
1177,36,44,0.3812636060560362
680,16,17,0.3812117679470627
185,3,42,0.38109389113115116
414,9,10,0.38099434644635305
738,17,42,0.38098686599824955
924,24,25,0.3807304175454831
782,19,23,0.38058696785405904
1088,31,35,0.3797188888759115
920,23,47,0.37969521172131326
135,2,39,0.3795845211604048
149,3,6,0.3780415765835184
1215,39,46,0.37772689665223363
1231,41,43,0.37733734345842956
560,12,39,0.37728899591659126
1068,30,34,0.3763229337368845
489,10,45,0.3760737409435395
1260,45,46,0.37565214666713936
483,10,39,0.3748670987463895
366,7,45,0.3742393658245566
833,20,44,0.37387656777910094
471,10,27,0.37195784517903824
309,6,31,0.37133699991257907
535,12,14,0.37073352124708947
783,19,24,0.3706684704453274
774,18,46,0.3704673287380563
456,10,12,0.370287536383859
641,14,47,0.3701503318695368
994,26,46,0.3697789801705778
204,4,15,0.36857747733318796
569,12,48,0.368499589882851
1039,28,46,0.36711616045505324
694,16,31,0.3666351139604014
820,20,31,0.36660192750338083
485,10,41,0.3663299459111196
472,10,28,0.36598698852601086
841,21,23,0.3654652616582176
842,21,24,0.36531285585114237
1018,27,47,0.36501203088800704
740,17,44,0.3645631758631088
544,12,23,0.36378436376544965
874,22,28,0.3626962348425304
481,10,37,0.3622800868438822
334,7,13,0.3621037751897772
118,2,22,0.3615887068729348
1129,33,41,0.36146384833821227
905,23,32,0.3607958331273095
897,23,24,0.3606084669602047
133,2,37,0.35999121197546957
1002,27,31,0.3597092282729228
214,4,25,0.3593424071251602
109,2,13,0.35913658582454866
1179,36,46,0.35905006511465754
186,3,43,0.3589608977518351
350,7,29,0.3587753537771949
941,24,42,0.3587197008057716
300,6,22,0.35839038152892
470,10,26,0.3573365583857682
631,14,37,0.357324633745402
650,15,21,0.357214973677639
111,2,15,0.3567893812081995
346,7,25,0.35669008648372713
1270,47,49,0.3561891962348959
1072,30,38,0.3561875734878795
1176,36,43,0.3560860047698086
394,8,31,0.3539854350512343
1165,35,46,0.3533781221344753
447,9,43,0.35331500371929614
201,4,12,0.35330705391849615
1232,41,44,0.35304416768847263
416,9,12,0.35301669367308114
969,25,45,0.3528507108393342
1151,34,47,0.35257340877121496
1117,32,46,0.35229816910469414
47,0,48,0.3521593663681215
604,13,46,0.35202321230343814
1189,37,43,0.3516243412233525
733,17,37,0.35131482707208944
1245,42,49,0.35128345885682427
1015,27,44,0.35073073302587066
547,12,26,0.3502693898456196
1246,42,50,0.34942849962953754
457,10,13,0.3488902230574278
1081,30,47,0.34882868983606075
564,12,43,0.3487903448994025
1146,34,42,0.3481091456398327
1224,40,45,0.34764505472637164
237,4,48,0.34734354862889677
580,13,22,0.34644491990757564
1115,32,44,0.34601704547304807
1054,29,40,0.34590259190854855
351,7,30,0.34577004646609244
437,9,33,0.3456430073169917
1200,38,42,0.3451921896152088
480,10,36,0.3448612962786753
891,22,45,0.34484425700982285
462,10,18,0.3447164542825609
568,12,47,0.3446983443771041
719,17,23,0.34406959102749624
92,1,44,0.34385428830345466
115,2,19,0.3434921879104158
792,19,33,0.34342015580506463
991,26,43,0.3431551417504966
553,12,32,0.3430026008928592
649,15,20,0.342956004764895
1271,47,50,0.34292792862252
946,24,47,0.3422098824238236
1114,32,43,0.3420200601840618
963,25,39,0.3419984029498183
581,13,23,0.34193301811455606
936,24,37,0.34143373143216693
751,18,23,0.340925592094105
267,5,33,0.34087883430505866
836,20,47,0.34084259873897776
899,23,26,0.33966537347208253
296,6,18,0.3395821350532651
918,23,45,0.33948489258446407
931,24,32,0.3390404288979184
476,10,32,0.3388757165193578
908,23,35,0.3387706840103149
870,22,24,0.33828295753150944
140,2,44,0.3370778981769672
1078,30,44,0.3370717286969455
925,24,26,0.33654295044218335
29,0,30,0.33643001351214846
30,0,31,0.3362291906557421
1186,37,40,0.33607940011856
843,21,25,0.33597796741969527
739,17,43,0.3359556629403075
1193,37,47,0.3351809136117816
583,13,25,0.33501002621266784
1136,33,48,0.33452884699739904
720,17,24,0.33450260232918416
